c82a510,Kubasu Ivan Sakwa,2026-08-15 21:32:42 +0300,Merge pull request #32 from KubasuIvanSakwa/task/T11-implement-stock-availability-lookup
539b52e,KubasuIvanSakwa,2026-08-15 21:31:17 +0300,feature: changed the UI to look more minimalistic
e9045d8,Kubasu Ivan Sakwa,2026-08-15 21:23:17 +0300,Merge pull request #31 from KubasuIvanSakwa/task/T11-implement-stock-availability-lookup
1c291ab,KubasuIvanSakwa,2026-08-15 21:21:46 +0300,chore: Implemented stock availabilty logic in index.html
c8801a6,Kubasu Ivan Sakwa,2026-08-15 21:16:49 +0300,Merge pull request #30 from KubasuIvanSakwa/task/T09-implement-order-status-lookup
cca557c,KubasuIvanSakwa,2026-08-15 21:14:58 +0300,chore: added the order status look up logic with inline javascript
958dbf2,Kubasu Ivan Sakwa,2026-08-15 20:42:26 +0300,Merge pull request #24 from KubasuIvanSakwa/task/T08-build-assistant-ui-shell
57c36cf,Kubasu Ivan Sakwa,2026-08-15 20:38:03 +0300,Merge branch 'main' into task/T08-build-assistant-ui-shell
bfef8f5,Kubasu Ivan Sakwa,2026-08-15 20:36:26 +0300,Merge pull request #25 from KubasuIvanSakwa/shelaw359-patch-1
a19070a,Kubasu Ivan Sakwa,2026-08-15 20:35:53 +0300,Merge pull request #26 from KubasuIvanSakwa/task/T05-returns-faq
c0ce896,Kubasu Ivan Sakwa,2026-08-15 20:35:22 +0300,Merge pull request #27 from KubasuIvanSakwa/task/T06-mock-inventory
38e7724,Kubasu Ivan Sakwa,2026-08-15 20:34:24 +0300,Merge pull request #28 from KubasuIvanSakwa/task/T07-decision-tree
bd0f6be,Kubasu Ivan Sakwa,2026-08-15 20:33:38 +0300,Merge pull request #29 from KubasuIvanSakwa/task/T03-MVP-scope
09fd35a,Kubasu Ivan Sakwa,2026-08-15 20:32:55 +0300,Merge pull request #23 from KubasuIvanSakwa/Rosalind-Nduta-patch-1
b892939,Ammi Mmosi,2026-08-15 19:12:27 +0300,Create Northstar_MVP_Definition.docx
9f86387,shelaw359,2026-08-15 15:30:53 +0300,Create decision-tree-flow.mddocs: T07 map decision-tree conversation flow - confirms no dead ends across all branches
e5b06c9,shelaw359,2026-08-15 14:50:29 +0300,Create invedata: T06 add mock inventory dataset - supports stock availability stretch goalntory.json
8c05601,shelaw359,2026-08-15 14:18:10 +0300,docs: T05 add returns and refund FAQ - answers the six required return/refund questions
a5a70f1,shelaw359,2026-08-15 12:21:02 +0300,data: T04 add six demo orders - gives the prototype realistic order states
95afee5,Rosalind,2026-08-15 00:03:28 +0300,chore: T08: I added styling for the HTML content. This is for visual appeal.
3cab62f,Rosalind Nduta,2026-08-14 23:22:35 +0300,Create style.css
fa8ff96,Kubasu Ivan Sakwa,2026-08-14 21:30:06 +0300,Merge pull request #22 from KubasuIvanSakwa/task/T08-build-assistant-ui-shell
eb44bc5,HakuGaistKita,2026-08-14 21:16:48 +0300,Chore: T08 I added content and doc title in prototype/index.html - this is the set up of the Fromtend UI
de32b74,Rosalind Nduta,2026-08-14 20:48:42 +0300,Merge pull request #21 from KubasuIvanSakwa/task/T01-repo-board-setup
e6599da,Kubasu Ivan Sakwa,2026-08-14 20:39:56 +0300,Create index.html
437959b,Kubasu Ivan Sakwa,2026-08-14 20:38:40 +0300,Create orders.json
225aeb0,Kubasu Ivan Sakwa,2026-08-14 09:00:01 +0300,docs: T01 add project README
4bdcb46,Kubasu Ivan Sakwa,2026-08-14 07:03:25 +0300,Merge pull request #2 from KubasuIvanSakwa/task/T01-repo-board-setup-1
c6f40b7,Kubasu Ivan Sakwa,2026-08-14 07:02:52 +0300,Create pull request template
8f2665a,Kubasu Ivan Sakwa,2026-08-14 07:01:08 +0300,Merge pull request #1 from KubasuIvanSakwa/task/T01-repo-board-setup
1567d13,Kubasu Ivan Sakwa,2026-08-14 07:00:07 +0300,Create task issue template
3f04ae8,Kubasu Ivan Sakwa,2026-08-14 06:26:50 +0300,Initial commit
